movie_id,collection_id
26044,17075
30502,17924
18509,10485
3980,10893
10127,10893
12702,10893
10651,10456
5680,182617
26386,33056
38500,17422
12144,19163
24929,10147
10925,10147
13965,89272
24266,89272
11966,86347
2605,86347
41428,18292
29095,12622
12500,91945
25678,91945
25682,91945
32049,15395
1648,91746
53150,25757
10134,98853
15142,35123
25005,1861
21721,1861
10345,88735
10222,10532
9494,9521
9942,97771
331,328
19142,87228
41946,87631
10135,22498
30666,13871
25155,13871
11342,87536
24126,87536
8494,118221
27813,10472
9880,107674
5175,90863
4484,239968
11684,23997
17169,16818
2770,2806
8922,94899
16314,71458
18885,71458
40508,71458
30379,12295
35200,38363
9398,352789
10866,16638
166,41649
13612,33071
984,10456
141,178106
585,137696
45964,27684
671,1241
16085,44975
16441,106
34388,89188
37835,28402
26398,21175
10649,10456
27591,21175
10650,10456
8007,98513
161,304
1649,91746
120,119
12593,47606
14683,47606
45491,39559
11595,93295
9610,43055
150,93295
11528,87214
16690,55422
39939,44946
39282,44975
993,262011
11979,2177
25006,12488
23479,21533
66946,21533
19050,21533
108266,4603
108267,4603
15999,12295
13225,1916
7219,133923
26200,10867
38147,22131
24032,22131
425,8354
1576,17255
17804,45698
31805,13544
13861,13544
29021,13544
31812,13544
28213,10407
12705,8722
11006,8722
15120,8722
16026,11254
36586,735
11452,4322
11590,26153
8346,389767
307,256729
15482,47983
45878,40682
12154,10769
11630,10769
9334,116669
11470,9735
5203,5202
557,556
12227,17865
43643,17865
1894,1
15417,16818
4614,192492
2501,31562
9637,8686
14774,33071
11544,97461
11982,9521
21972,36301
608,86055
11442,91361
10996,99727
818,1006
24130,16746
36645,11364
23728,16746
9488,86486
7451,52785
34070,35644
9266,115839
15070,11778
11243,36397
19975,36397
9595,52988
24038,1355
3127,12372
10859,16203
10611,1761
4108,9518
18943,33056
32685,33056
18477,26792
12262,26792
9533,9743
10575,27774
1682,374509
39462,37451
18983,37451
24348,17334
82545,13551
34600,33056
39128,33056
11868,12372
10772,38682
77079,38682
12600,34055
565,14563
21925,17334
10285,9735
11009,28828
10805,28828
225,457305
17205,37354
15900,97237
12237,97237
15901,97237
15902,97237
15904,97237
97251,97237
22435,16933
2264,295862
39874,26444
31646,21228
9012,17178
12208,645
9021,53159
10167,43063
672,1241
29229,10908
12716,14852
12717,14852
13888,59586
9538,88574
27997,28164
36669,645
10426,43563
20992,21829
6007,12075
25239,29643
14433,37439
9932,110127
22257,14013
35343,6317
171,41649
11564,1644
20787,42388
201,11557
121,119
11317,8596
4032,8596
31804,13544
16225,14109
23626,10484
9358,8864
15802,22715
11915,10517
29224,6317
2262,295862
24830,31575
9699,937
23943,13777
6038,59567
14873,97459
12139,19544
24883,40539
17264,40539
10929,37589
15347,35421
2671,93369
9669,93369
42695,26106
18992,10099
29912,36644
7294,8385
2662,105625
36658,748
10708,22889
17464,92222
15259,92222
42792,43142
604,2344
1555,239766
33875,34055
310,124949
12,137697
9902,52985
584,9485
5921,431417
14676,38363
10152,96665
20694,57129
35669,12372
170,1565
9471,86029
10327,86024
296,528
22,295
8961,1489
9486,86117
24259,19475
1996,2467
12279,86486
21882,28953
24993,10532
4984,289531
8273,2806
9257,221111
33954,42157
6466,9735
10923,91427
9362,91799
936,937
12268,937
7504,7505
513,7505
11351,94899
2722,330892
11547,20158
1428,9649
10617,10457
10618,10457
10619,10457
8408,26159
277,2326
17614,40914
18113,20178
11475,18774
11806,16888
10438,16888
9871,11794
33258,12495
11059,11793
24,2883
9373,425175
4256,4246
10009,96472
10389,26434
3117,12372
897,158391
224,457305
27117,47863
50553,47863
44383,47863
605,2344
11846,96871
10147,42317
9556,45154
9065,208765
38939,11514
860,151263
8010,805
951,397444
3176,16302
11824,43066
1594,937
11811,19285
9063,208765
255,185682
10028,14469
122,119
11007,11478
11429,98036
5205,245129
21779,15789
1954,52749
14114,35372
21301,1761
44539,19475
18841,15837
30566,20193
42466,20193
44674,19475
9838,135502
10677,86058
17047,91427
11024,8686
553,1952
1487,17235
11137,86334
11358,29975
2122,103577
923,26159
34082,13544
393,2883
10625,99606
7131,109608
22137,20598
10035,40411
20561,95051
667,645
700,645
36670,645
10940,10441
9356,9521
16113,12617
25508,27267
12310,87631
39907,15934
9545,14246
10916,10441
10921,10441
10941,10441
14589,47814
14594,47814
14590,47814
14588,47814
14595,47814
1583,478442
17653,12295
11069,91799
10829,91799
31952,12374
54396,30815
40810,48829
40812,48829
3075,12372
43096,14549
11506,28694
29455,28694
11602,28694
42632,18567
10775,58588
15618,34989
13282,43453
26268,43427
250,95891
19086,12617
15824,28929
11315,19253
5165,441439
19128,1114
33560,2594
15371,1459
27601,32135
17346,44847
809,215
673,1241
2789,2794
8920,86115
11546,9338
17481,47863
27118,47863
9372,475802
44695,24069
31217,85473
38582,37451
9542,476054
24236,29714
10606,14578
6081,937
2330,211721
2334,211721
2202,280539
558,556
80,1238
8699,93791
11247,43745
36627,13816
2502,31562
12625,11002
43417,11002
20408,47863
18706,47863
34327,47863
20417,47863
35780,30688
25361,30688
25536,17159
11282,30663
11130,10767
395,115762
10762,14653
11026,12263
36912,33061
44415,42483
11237,106
13559,37442
24924,13622
17994,16819
1577,17255
26230,26387
27816,10472
27815,10472
29445,20877
28153,2563
1970,1974
176,656
9806,468222
11249,10455
9801,8936
2059,52984
11836,2754
163,304
36648,735
33740,2086
74719,2086
77448,2086
28421,2594
27503,48802
43149,1355
27970,25903
23101,43809
23336,15837
28436,27267
9797,426985
31980,13544
4558,84923
43388,13551
30801,45698
11402,12077
31372,10245
31374,10245
31378,10245
34528,85473
34530,85473
21135,44144
17102,12372
11047,94039
9929,94039
29778,12372
29748,12372
70327,16177
9394,212525
34479,12372
40732,30847
18250,11685
33020,12372
12089,10576
41471,10213
17810,10213
9474,409026
25473,1575
24402,39438
16246,39104
28994,21186
19174,40526
9385,94039
28209,39438
10711,15547
43430,10747
47313,33456
5725,294834
38783,18846
10640,1667
5651,294834
16378,2557
1362,14129
33701,52835
14087,14095
1884,13383
27414,2563
17663,94035
8868,94039
29903,28411
14029,4302
10372,13383
67342,15542
9056,269098
9318,94039
10570,74083
11471,99635
22572,16047
49964,32415
30421,9046
18305,99635
14571,98435
20562,95051
18311,28702
1483,476066
34376,12495
29904,28411
83761,32415
34683,36114
47350,15186
25684,91945
18817,19217
16437,98853
17811,12295
12088,86341
30366,18774
35610,14578
12664,20795
32764,27847
26877,30926
18998,45154
11067,97771
35977,12326
26830,47394
12613,19044
37563,10407
27318,20318
16003,13791
8214,8385
2061,20391
74097,36205
36702,14272
17629,10804
9732,94032
10213,10924
12095,10924
1283,2248
22140,20598
344,344936
15805,4219
11508,11716
2487,149191
12485,9858
17074,40477
18491,9685
39927,35549
21348,33842
9011,9068
2332,211721
20882,10746
5458,52789
10482,26801
28031,16439
15653,41026
844,287016
23985,14272
2463,206072
16874,42637
71138,10319
39872,10319
16234,37948
10706,10721
17208,10563
10751,95891
2899,2396
36243,37451
10726,86105
13899,19253
437,432
11178,47385
100973,1187
21707,10168
36222,19253
13984,3865
4689,4563
18248,30865
21041,24726
11430,94032
23986,14272
4326,279836
32250,1972
44203,1972
10891,91799
12540,43019
60672,3963
14245,14246
3177,16302
10855,30926
12140,23026
12496,37755
17457,19254
10361,11794
41070,37195
11838,1972
670,4563
12583,11794
9694,12658
22537,53154
10304,10522
9666,1972
9316,94589
11647,58588
10105,30606
83,86113
14310,58588
10320,14563
3396,47552
62276,10746
5889,101246
5460,52789
8357,476065
24674,26434
12597,8917
693,51509
11804,10278
18627,37451
34326,19102
23832,25186
11633,878
12127,11875
11626,11875
42390,41394
27549,106
26581,27587
11637,17612
12142,1497
8968,96937
661,295862
561,437628
10214,43072
3040,3106
44875,43809
12721,38492
27042,16985
2926,87631
258,185682
8016,256729
37601,10817
4551,91698
3115,374509
6593,374511
38148,22131
438,432
37988,10165
10040,9322
38155,38572
19545,37451
187,135179
47406,16769
9674,93369
16250,97919
10065,39784
13409,12488
